ITEM,MATERIAL,CATEGORY
FLOORS,CERAMIC,CLEANING
FLOORS,PORCELAIN,CLEANING
FLOORS,MARBLE,CLEANING
FLOORS,WOOD,CLEANING
ELECTRONIC EQUIPMENT,TV,CLEANING
ELECTRONIC EQUIPMENT,SYSTEM SOUND/HOME THEATER,CLEANING
ELECTRONIC EQUIPMENT,AUTOMATIONS,CLEANING
AIR CONDITIONING,MINI SPLIT,CLEANING
AIR CONDITIONING,CASSETTE,CLEANING
AIR CONDITIONING,MAIN AC,CLEANING
ELECTRICAL APPLIANCES,DISH WASHER,MAINTENANCE
ELECTRICAL APPLIANCES,STOVE,MAINTENANCE
ELECTRICAL APPLIANCES,OVEN,MAINTENANCE
ELECTRICAL APPLIANCES,EXTRACTOR HOOD,MAINTENANCE
ELECTRICAL APPLIANCES,LAUNDRY MACHINE,MAINTENANCE
ELECTRICAL APPLIANCES,DRYER,MAINTENANCE
ELECTRICAL APPLIANCES,DISHWASHER,MAINTENANCE
ELECTRICAL APPLIANCES,MICROWAVE,MAINTENANCE
ELECTRICAL APPLIANCES,REFRIGERATOR,MAINTENANCE
ELECTRICAL APPLIANCES,ICEMAKER,MAINTENANCE
ELECTRICAL APPLIANCES,HEATER,MAINTENANCE
ELECTRICAL APPLIANCES,DISHWASHER FAUCET,MAINTENANCE
WINDOWS FRAMES,ALUMINUM,MAINTENANCE
WINDOWS FRAMES,PVC,MAINTENANCE
WALLS,PAINT,MAINTENANCE
WALLS,WALLPAPER,MAINTENANCE
CEILINGS,PAINT,MAINTENANCE
CEILINGS,WALLPAPER,MAINTENANCE
LIGHTING,LAMPS,MAINTENANCE
WINDOWS,GLASS WITH UV,MAINTENANCE
WINDOWS,GLASS WITHOUT UV,MAINTENANCE
DOORS,WOOD,MAINTENANCE
DOORS,VENEER,MAINTENANCE
DOORS,PU (POLYURETHANE),MAINTENANCE
DOORS,MELAMINE,MAINTENANCE
LOCKS,POLISH FINISH,MAINTENANCE
LOCKS,SATIN FINISH,MAINTENANCE
LOCKS,COLOR FINISH,MAINTENANCE
ELECTRICAL APPLIANCES SWITCH,CONVENTIONAL PULSE,MAINTENANCE
ELECTRICAL APPLIANCES SWITCH,ELECTRONIC,MAINTENANCE
ELECTRICAL APPLIANCES SWITCH,FIXED PHONE,MAINTENANCE
ELECTRICAL APPLIANCES SWITCH,INTERCOM,MAINTENANCE
SOFAS,FABRIC,MAINTENANCE
SOFAS,LEATHER,MAINTENANCE
ARMCHAIRS OR BENCHES,WOOD,MAINTENANCE
ARMCHAIRS OR BENCHES,FABRIC,MAINTENANCE
TABLES,GLASS,MAINTENANCE
TABLES,MIRROR,MAINTENANCE
TABLES,MARBLE,MAINTENANCE
TABLES,WOOD,MAINTENANCE
RUGS,NATURAL FIBERS,MAINTENANCE
RUGS,SILK,MAINTENANCE
RUGS,WOOL,MAINTENANCE
CURTAINS,FABRIC,MAINTENANCE
CURTAINS,ROLLING,MAINTENANCE
CURTAINS,JAPANESE PANEL,MAINTENANCE
CURTAINS,BLIND,MAINTENANCE
DECORATIVE ACCESSORIES,GENERAL ACCESSORIES,MAINTENANCE
DECORATIVE ACCESSORIES,GLASSWARE,MAINTENANCE
DECORATIVE ACCESSORIES,ART,MAINTENANCE
DECORATIVE ACCESSORIES,FOLIAGE,MAINTENANCE
DECORATIVE ACCESSORIES,SILVERWARE,MAINTENANCE
DINING TABLE,MARBLE,MAINTENANCE
DINING TABLE,WOOD,MAINTENANCE
DINING TABLE,GLASS,MAINTENANCE
DINING TABLE,PU (POLYURETHANE),MAINTENANCE
DINING TABLE,STEEL BASE,MAINTENANCE
DINING CHAIRS,FABRIC,MAINTENANCE
DINING CHAIRS,WOOD,MAINTENANCE
DINING CHAIRS,LEATHER,MAINTENANCE
BUFFET,,MAINTENANCE
DISPLAY CASE,,MAINTENANCE
LAMPS,GLASS,MAINTENANCE
LAMPS,ACRYLIC,MAINTENANCE
LAMPS,METALS,MAINTENANCE
BASEBOARDS,,MAINTENANCE
LINEN CLOSET,,MAINTENANCE
AIR CENTRAL GRILLS,,MAINTENANCE
SEATS OR SOFAS,FABRIC,MAINTENANCE
SEATS OR SOFAS,LEATHER,MAINTENANCE
SEATS OR SOFAS,OTHER,MAINTENANCE
ARMCHAIRS,FABRIC,MAINTENANCE
ARMCHAIRS,LEATHER,MAINTENANCE
ARMCHAIRS,OTHER,MAINTENANCE
FURNITURE,TV UNIT,MAINTENANCE
FURNITURE,BAR UNIT,MAINTENANCE
FURNITURE,TABLES,MAINTENANCE
ROOM FURNITURE,BEDS,MAINTENANCE
ROOM FURNITURE,MATTRESSES,MAINTENANCE
ROOM FURNITURE,RUGS,MAINTENANCE
ROOM FURNITURE,TABLES,MAINTENANCE
ROOM FURNITURE,ARMCHAIR,MAINTENANCE
ROOM FURNITURE,TV UNIT,MAINTENANCE
ROOM FURNITURE,DESK,MAINTENANCE
CURTAINS,FABRIC,MAINTENANCE
CURTAINS,ROLLING,MAINTENANCE
CURTAINS,JAPANESE,MAINTENANCE
CURTAINS,BLIND,MAINTENANCE
FANS,CEILING,MAINTENANCE
FANS,FLOOR,MAINTENANCE
WARDROBES,,MAINTENANCE
BATHROOM VANITIES,QUARTSTONES,MAINTENANCE
BATHROOM VANITIES,MARBLE,MAINTENANCE
BATHROOM VANITIES,GRANITE,MAINTENANCE
BATHROOM VANITIES,SINTERIZED,MAINTENANCE
BATHROOM VANITIES,OTHER,MAINTENANCE
WASHBASINS,QUARTSTONES,MAINTENANCE
WASHBASINS,MARBLE,MAINTENANCE
WASHBASINS,GRANITE,MAINTENANCE
WASHBASINS,CERAMIC,MAINTENANCE
WASHBASINS,OTHER,MAINTENANCE
